FID,PAR20CD,PAR20NM,WD20CD,WD20NM,LAD20CD,LAD20NM
10835,W04000844,Ely,W05000860,Ely,W06000015,Cardiff
10836,W04000862,St. Fagans,W05000860,Ely,W06000015,Cardiff
10837,W04000845,Fairwater,W05000861,Fairwater,W06000015,Cardiff
10838,W04000846,Gabalfa,W05000862,Gabalfa,W06000015,Cardiff
10839,W04000847,Grangetown,W05000863,Grangetown,W06000015,Cardiff
10840,W04000848,Heath,W05000864,Heath,W06000015,Cardiff
10841,W04000849,Lisvane,W05000865,Lisvane,W06000015,Cardiff
10842,W04000850,Llandaff,W05000866,Llandaff,W06000015,Cardiff
10843,W04000851,Llandaff North,W05000867,Llandaff North,W06000015,Cardiff
10844,W04000866,Whitchurch,W05000867,Llandaff North,W06000015,Cardiff
10845,W04000855,Pentyrch,W05000871,Pentyrch,W06000015,Cardiff
10846,W04000860,Penylan,W05000872,Penylan,W06000015,Cardiff
10847,W04000856,Roath,W05000873,Plasnewydd,W06000015,Cardiff
10848,W04000857,Radyr and Morganstown,W05000875,Radyr,W06000015,Cardiff
10849,W04000858,Rhiwbina,W05000876,Rhiwbina,W06000015,Cardiff
10850,W04001002,Pontcanna,W05000877,Riverside,W06000015,Cardiff
10851,W04001003,Riverside,W05000877,Riverside,W06000015,Cardiff
10852,W04001005,Splott,W05000879,Splott,W06000015,Cardiff
10853,W04001007,Tremorfa,W05000879,Splott,W06000015,Cardiff
10854,W04000864,Tongwynlais,W05000881,Whitchurch and Tongwynlais,W06000015,Cardiff
10855,W04000866,Whitchurch,W05000881,Whitchurch and Tongwynlais,W06000015,Cardiff
10856,W04000868,Pontprennau,W05000900,Pontprennau/Old St. Mellons,W06000015,Cardiff
10857,W04000888,Old St. Mellons,W05000900,Pontprennau/Old St. Mellons,W06000015,Cardiff
10858,W04000997,Cyncoed,W05001011,Cyncoed,W06000015,Cardiff
10859,W04000849,Lisvane,W05001012,Llanishen,W06000015,Cardiff
10860,W04000999,Llanishen,W05001012,Llanishen,W06000015,Cardiff
10861,W04001006,Thornhill,W05001012,Llanishen,W06000015,Cardiff
10862,W04001000,Llanrumney,W05001013,Llanrumney,W06000015,Cardiff
10863,W04000998,Llanedeyrn,W05001014,Pentwyn,W06000015,Cardiff
10864,W04001001,Pentwyn,W05001014,Pentwyn,W06000015,Cardiff
10865,W04001004,Rumney,W05001015,Rumney,W06000015,Cardiff
10866,W04001008,Trowbridge,W05001016,Trowbridge,W06000015,Cardiff
10867,W04001009,Aberaman North,W05000655,Aberaman North,W06000016,Rhondda Cynon Taf
10868,W04000678,Abercynon,W05000657,Abercynon,W06000016,Rhondda Cynon Taf
10869,W04001011,Aberdare East,W05000658,Aberdare East,W06000016,Rhondda Cynon Taf
10870,W04000690,Llwydcoed,W05000659,Aberdare West/Llwydcoed,W06000016,Rhondda Cynon Taf
10871,W04001012,Aberdare West,W05000659,Aberdare West/Llwydcoed,W06000016,Rhondda Cynon Taf
10872,W04000875,Llanharan,W05000661,Brynna,W06000016,Rhondda Cynon Taf
10873,W04001018,Pontypridd,W05000663,Cilfynydd,W06000016,Rhondda Cynon Taf
10874,W04000681,Cwm Clydach,W05000664,Cwm Clydach,W06000016,Rhondda Cynon Taf
10875,W04000682,Cymmer,W05000666,Cymmer,W06000016,Rhondda Cynon Taf
10876,W04000705,Trehafod,W05000666,Cymmer,W06000016,Rhondda Cynon Taf
10877,W04000683,Ferndale,W05000667,Ferndale,W06000016,Rhondda Cynon Taf
10878,W04000684,Gilfach Goch,W05000668,Gilfach Goch,W06000016,Rhondda Cynon Taf
10879,W04001018,Pontypridd,W05000669,Glyncoch,W06000016,Rhondda Cynon Taf
10880,W04001018,Pontypridd,W05000671,Hawthorn,W06000016,Rhondda Cynon Taf
10881,W04000685,Hirwaun,W05000672,Hirwaun,W06000016,Rhondda Cynon Taf
10882,W04000691,Llwyn-y-pia,W05000677,Llwyn-y-pia,W06000016,Rhondda Cynon Taf
10883,W04000692,Maerdy,W05000678,Maerdy,W06000016,Rhondda Cynon Taf
10884,W04001017,Mountain Ash West,W05000680,Mountain Ash West,W06000016,Rhondda Cynon Taf
10885,W04000694,Penrhiwceiber,W05000681,Penrhiwceiber,W06000016,Rhondda Cynon Taf
